id_commande,date_achat,etat_client,categorie,categorie_en,nb_articles,prix_articles_brl,frais_port_brl,montant_total_brl,delai_livraison_j
58faef88,2017-03-23,MG,ferramentas_jardim,garden_tools,4,398.0,131.92,529.92,11
ed9a7391,2017-03-24,RJ,utilidades_domesticas,housewares,1,169.9,25.01,194.91,70
81c684bc,2017-03-24,BA,beleza_saude,health_beauty,1,64.99,20.9,85.89,18
4a3c3165,2017-03-24,SP,brinquedos,toys,1,34.9,10.96,45.86,13
aad53ab5,2017-03-25,SP,esporte_lazer,sports_leisure,1,209.9,19.75,229.65,9
d591a97f,2017-03-25,SP,cama_mesa_banho,bed_bath_table,1,24.9,10.96,35.86,15
010c9953,2017-03-25,SP,eletronicos,electronics,1,42.0,14.12,56.12,5
5b1c6bad,2017-03-25,SP,cama_mesa_banho,bed_bath_table,1,79.9,11.95,91.85,8
104cba31,2017-03-25,RJ,eletronicos,electronics,1,79.0,20.67,99.67,10
f303983d,2017-03-25,MG,cama_mesa_banho,bed_bath_table,1,59.99,15.63,75.62,16
cd7d5eba,2017-03-27,SP,informatica_acessorios,computers_accessories,1,149.99,15.22,165.21,9
8ab0025e,2017-03-27,BA,telefonia,telephony,2,50.0,41.6,91.6,20
3f341046,2017-03-27,SP,cama_mesa_banho,bed_bath_table,1,149.9,17.79,167.69,13
38173930,2017-03-28,RS,informatica_acessorios,computers_accessories,2,35.98,21.92,57.9,5
fae3b1a8,2017-03-28,MG,cama_mesa_banho,bed_bath_table,1,17.5,14.52,32.02,6
d899e9de,2017-03-29,SC,beleza_saude,health_beauty,1,99.99,14.87,114.86,12
ada32a77,2017-03-30,PR,cool_stuff,cool_stuff,1,637.0,21.3,658.3,15
a73decd8,2017-03-30,RJ,esporte_lazer,sports_leisure,1,89.9,16.88,106.78,5
5b7d2a66,2017-03-30,RS,esporte_lazer,sports_leisure,1,59.0,14.18,73.18,5
66b12481,2017-03-31,RJ,cama_mesa_banho,bed_bath_table,1,89.9,14.8,104.7,11
c0138621,2017-03-31,PA,pet_shop,pet_shop,1,129.9,29.84,159.74,19
ad7bbcbf,2017-03-31,MG,brinquedos,toys,1,159.9,19.82,179.72,9
a7db8c53,2017-03-31,SP,beleza_saude,health_beauty,1,49.99,15.56,65.55,12
793df0d4,2017-04-01,MG,perfumaria,perfumery,1,292.9,16.22,309.12,9
1c1edc51,2017-04-01,SP,cama_mesa_banho,bed_bath_table,1,154.9,13.66,168.56,10
c57edd0a,2017-04-01,RJ,cama_mesa_banho,bed_bath_table,2,27.8,29.04,56.84,9
a1e393fb,2017-04-01,SP,papelaria,stationery,1,57.9,14.17,72.07,4
02164530,2017-04-01,RJ,moveis_escritorio,office_furniture,1,129.96,29.1,159.06,11
eccfa949,2017-04-02,BA,beleza_saude,health_beauty,1,99.9,22.2,122.1,20
8dedd7e7,2017-04-03,SP,moveis_decoracao,furniture_decor,1,45.9,11.74,57.64,6
215081bd,2017-04-04,SP,malas_acessorios,luggage_accessories,1,139.9,26.21,166.11,11
c7004c25,2017-04-04,RJ,cama_mesa_banho,bed_bath_table,1,69.9,15.7,85.6,6
641e972f,2017-04-04,SP,beleza_saude,health_beauty,1,110.0,16.07,126.07,5
dcd37d4b,2017-04-04,SP,moveis_decoracao,furniture_decor,1,49.7,12.93,62.63,15
c0f6d1b5,2017-04-05,ES,esporte_lazer,sports_leisure,1,94.9,18.9,113.8,7
f076e6d4,2017-04-05,SP,eletronicos,electronics,1,48.99,10.96,59.95,5
748f5318,2017-04-05,SP,cama_mesa_banho,bed_bath_table,1,12.5,10.96,23.46,5
1a3960b2,2017-04-06,MG,bebes,baby,1,59.9,14.59,74.49,6
bd751ddc,2017-04-06,MT,pet_shop,pet_shop,1,809.9,26.12,836.02,25
aa8c2e40,2017-04-06,SP,eletronicos,electronics,1,29.9,14.52,44.42,5
bbcee2bd,2017-04-07,DF,ferramentas_jardim,garden_tools,2,359.98,67.08,427.06,10
f9701d96,2017-04-08,RS,bebes,baby,1,18.0,14.52,32.52,8
34c19405,2017-04-08,SP,moveis_escritorio,office_furniture,1,39.9,20.43,60.33,3
089b005e,2017-04-08,SC,cama_mesa_banho,bed_bath_table,1,105.0,19.01,124.01,12
7634d13a,2017-04-08,BA,automotivo,auto,1,59.99,20.87,80.86,31
276e9ec3,2017-04-08,CE,ferramentas_jardim,garden_tools,1,249.0,30.94,279.94,43
b8dabd1b,2017-04-09,RS,telefonia,telephony,1,21.99,16.05,38.04,10
014f1e63,2017-04-09,MG,informatica_acessorios,computers_accessories,1,129.9,18.34,148.24,7
c5080a16,2017-04-09,RJ,moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,1,108.9,20.84,129.74,3
f5086e98,2017-04-10,SC,moveis_decoracao,furniture_decor,2,17.46,38.1,55.56,22
d6f10835,2017-04-10,MG,beleza_saude,health_beauty,1,34.99,14.52,49.51,7
5d78d11e,2017-04-11,ES,brinquedos,toys,1,55.8,17.23,73.03,7
4519d054,2017-04-11,MG,eletronicos,electronics,1,18.16,14.52,32.68,15
cd95fe8a,2017-04-11,MG,automotivo,auto,1,12.9,14.52,27.42,8
781ae963,2017-04-11,BA,telefonia,telephony,1,18.95,20.8,39.75,22
c5ad6026,2017-04-12,SP,brinquedos,toys,1,64.99,11.06,76.05,7
6dab6db5,2017-04-12,TO,utilidades_domesticas,housewares,1,59.9,26.89,86.79,26
d63eeedf,2017-04-12,PR,cama_mesa_banho,bed_bath_table,1,69.9,15.7,85.6,7
68eb0f50,2017-04-14,RJ,esporte_lazer,sports_leisure,2,38.66,29.04,67.7,17
12175268,2017-04-14,SP,informatica_acessorios,computers_accessories,1,299.0,16.26,315.26,12
c09e8c8e,2017-04-14,SP,utilidades_domesticas,housewares,1,169.9,22.66,192.56,25
a0d3437f,2017-04-15,MG,utilidades_domesticas,housewares,1,32.99,11.74,44.73,12
68f47f50,2017-04-16,SE,esporte_lazer,sports_leisure,1,49.9,20.8,70.7,29
507bbf4a,2017-04-16,SP,utilidades_domesticas,housewares,1,25.0,10.96,35.96,15
cd3f264d,2017-04-17,PR,informatica_acessorios,computers_accessories,2,354.0,32.9,386.9,17
eb45ff26,2017-04-17,SP,moveis_decoracao,furniture_decor,2,105.98,18.72,124.7,4
63c97617,2017-04-18,RN,informatica_acessorios,computers_accessories,2,71.4,41.6,113.0,16
a71697ed,2017-04-19,MG,cool_stuff,cool_stuff,2,189.89,31.75,221.64,13
758df1b1,2017-04-20,GO,casa_construcao,home_construction,1,620.1,24.97,645.07,19
2a161836,2017-04-20,ES,casa_conforto,home_confort,1,14.0,16.05,30.05,15
6d60cc49,2017-04-20,SP,fashion_roupa_masculina,fashion_male_clothing,1,24.9,10.96,35.86,21
3eee460c,2017-04-21,RJ,automotivo,auto,1,27.99,14.52,42.51,12
c75f4211,2017-04-22,MG,cool_stuff,cool_stuff,1,385.0,59.23,444.23,26
ae6bf543,2017-04-22,SP,cama_mesa_banho,bed_bath_table,1,89.9,11.24,101.14,13
047f9a21,2017-04-22,SP,utilidades_domesticas,housewares,1,194.9,26.86,221.76,6
7fadb5fe,2017-04-22,RJ,informatica_acessorios,computers_accessories,1,97.0,14.85,111.85,9
6605d402,2017-04-23,BA,bebes,baby,1,59.99,22.35,82.34,18
9ff74ab0,2017-04-24,SC,informatica_acessorios,computers_accessories,1,18.0,14.52,32.52,21
ddf16d77,2017-04-24,SC,non_renseignee,not_specified,1,29.0,14.52,43.52,11
c01f21ad,2017-04-24,MG,beleza_saude,health_beauty,1,339.99,17.14,357.13,10
fb14d0b9,2017-04-24,SP,cama_mesa_banho,bed_bath_table,1,89.9,11.24,101.14,8
7eee039d,2017-04-25,SP,moveis_escritorio,office_furniture,2,190.0,44.0,234.0,17
0bca8e07,2017-04-25,PR,informatica_acessorios,computers_accessories,1,75.0,14.7,89.7,16
9a870a0b,2017-04-26,PR,brinquedos,toys,1,99.9,14.87,114.77,6
49fbc3c1,2017-04-26,PR,cama_mesa_banho,bed_bath_table,1,31.9,15.56,47.46,15
883a45f6,2017-04-26,SP,informatica_acessorios,computers_accessories,1,144.99,15.18,160.17,12
6ae725cd,2017-04-27,MG,moveis_decoracao,furniture_decor,1,55.0,14.16,69.16,9
1ea1fb68,2017-04-28,MG,pet_shop,pet_shop,1,79.7,11.17,90.87,10
0b87d8d6,2017-04-28,BA,telefonia,telephony,1,13.98,20.8,34.78,35
638a5408,2017-04-28,SC,cool_stuff,cool_stuff,1,119.99,16.05,136.04,14
2c797872,2017-04-29,SP,beleza_saude,health_beauty,1,66.9,13.05,79.95,11
ffdee14e,2017-04-29,SC,esporte_lazer,sports_leisure,1,29.5,10.96,40.46,10
2b3304ab,2017-04-29,MT,cool_stuff,cool_stuff,1,129.99,25.11,155.1,15
57cf4d74,2017-04-29,PE,esporte_lazer,sports_leisure,1,49.9,24.84,74.74,7
599c2d88,2017-04-29,SP,relogios_presentes,watches_gifts,1,49.0,10.96,59.96,5
61081143,2017-04-30,MG,perfumaria,perfumery,1,139.9,15.15,155.05,8
61e94ee0,2017-04-30,SC,perfumaria,perfumery,1,149.9,15.22,165.12,16
6a0b5fb9,2017-04-30,PA,relogios_presentes,watches_gifts,1,22.9,29.55,52.45,16
2c6d7710,2017-05-01,SP,livros_tecnicos,books_technical,1,88.5,11.23,99.73,24
d8558596,2017-05-01,RJ,utilidades_domesticas,housewares,1,47.99,15.56,63.55,8
8524c844,2017-05-01,SP,moveis_decoracao,furniture_decor,1,49.9,11.74,61.64,8
256aa0d2,2017-05-01,RS,cama_mesa_banho,bed_bath_table,1,94.5,27.13,121.63,21
2a84eca2,2017-05-01,PI,eletrodomesticos,home_appliances,1,32.9,24.84,57.74,10
c7d8dac1,2017-05-01,PB,moveis_decoracao,furniture_decor,1,38.5,22.28,60.78,11
38a467d0,2017-05-01,SP,beleza_saude,health_beauty,1,339.99,12.99,352.98,16
b6b88bb7,2017-05-02,RS,moveis_sala,furniture_living_room,2,59.8,62.76,122.56,12
cf7dd055,2017-05-02,RJ,utilidades_domesticas,housewares,1,90.9,20.96,111.86,15
48139821,2017-05-02,SC,informatica_acessorios,computers_accessories,1,89.0,18.05,107.05,12
7bed52ae,2017-05-03,PA,artes,art,1,69.9,37.45,107.35,20
e51c3cf4,2017-05-03,MG,papelaria,stationery,1,49.9,10.96,60.86,11
0394e320,2017-05-03,AP,beleza_saude,health_beauty,1,116.0,25.3,141.3,21
70e51d3f,2017-05-03,SP,moveis_decoracao,furniture_decor,1,59.74,18.7,78.44,12
01d80471,2017-05-03,RS,informatica_acessorios,computers_accessories,1,75.0,16.23,91.23,12
fa086b52,2017-05-03,SP,cool_stuff,cool_stuff,1,219.99,15.31,235.3,22
ee814067,2017-05-04,MG,utilidades_domesticas,housewares,1,44.9,12.93,57.83,12
1100a320,2017-05-04,MT,beleza_saude,health_beauty,1,59.9,20.87,80.77,12
1b489d89,2017-05-04,SP,esporte_lazer,sports_leisure,1,31.9,14.52,46.42,4
1c2764ff,2017-05-05,PI,moveis_sala,furniture_living_room,1,139.9,34.18,174.08,18
78f36af4,2017-05-05,RS,cama_mesa_banho,bed_bath_table,1,89.9,16.05,105.95,13
9a65fd6f,2017-05-05,TO,cool_stuff,cool_stuff,1,132.7,32.39,165.09,9
0e4160cb,2017-05-06,BA,beleza_saude,health_beauty,1,29.0,20.8,49.8,19
184f17bb,2017-05-06,SP,fashion_calcados,fashion_shoes,1,29.9,14.1,44.0,10
bdbc0940,2017-05-06,RJ,relogios_presentes,watches_gifts,1,28.7,16.79,45.49,30
54df475b,2017-05-06,SP,esporte_lazer,sports_leisure,1,97.5,13.7,111.2,19
edffd79f,2017-05-07,MS,telefonia,telephony,1,39.0,15.1,54.1,11
d6c877d8,2017-05-07,SP,moveis_escritorio,office_furniture,1,430.0,27.52,457.52,15
8b9c6ff3,2017-05-08,SP,utilidades_domesticas,housewares,1,119.9,13.86,133.76,3
9dd89c2d,2017-05-09,PR,papelaria,stationery,1,54.9,17.95,72.85,9
1e80bd66,2017-05-09,RJ,utilidades_domesticas,housewares,2,196.6,85.78,282.38,13
278d8871,2017-05-09,RS,cama_mesa_banho,bed_bath_table,1,59.99,17.67,77.66,6
036b7918,2017-05-10,SP,moveis_decoracao,furniture_decor,1,49.99,9.34,59.33,6
9bfcadb1,2017-05-10,RJ,beleza_saude,health_beauty,1,339.99,17.13,357.12,13
65b8cbd6,2017-05-10,RJ,beleza_saude,health_beauty,1,64.99,14.2,79.19,12
b084a8f6,2017-05-10,SC,ferramentas_jardim,garden_tools,1,89.0,15.37,104.37,14
61ece612,2017-05-11,RJ,informatica_acessorios,computers_accessories,2,79.8,28.2,108.0,4
c1674af3,2017-05-11,SP,instrumentos_musicais,musical_instruments,1,29.9,9.34,39.24,6
d53a5c7f,2017-05-12,SP,moveis_decoracao,furniture_decor,1,109.9,16.4,126.3,9
05519ea9,2017-05-13,ES,informatica_acessorios,computers_accessories,1,339.0,18.13,357.13,16
0168a7f1,2017-05-13,SP,utilidades_domesticas,housewares,1,149.9,8.3,158.2,4
e74c3bd7,2017-05-13,SP,eletrodomesticos,home_appliances,1,32.9,11.85,44.75,9
6f3b34d7,2017-05-13,BA,eletronicos,electronics,1,89.0,16.06,105.06,19
663f2416,2017-05-14,SP,beleza_saude,health_beauty,1,339.99,10.57,350.56,7
e702f593,2017-05-14,SP,beleza_saude,health_beauty,1,19.9,11.85,31.75,11
a6a5d567,2017-05-15,SP,moveis_decoracao,furniture_decor,2,899.8,347.56,1247.36,66
f6aed65c,2017-05-15,RN,automotivo,auto,1,139.99,38.53,178.52,8
f6d370f7,2017-05-15,AM,cool_stuff,cool_stuff,1,199.0,37.56,236.56,22
71ea8340,2017-05-15,SP,informatica_acessorios,computers_accessories,1,207.3,16.2,223.5,6
e5b57b95,2017-05-15,SP,market_place,market_place,1,12.0,11.85,23.85,2
2fa7634c,2017-05-15,PE,perfumaria,perfumery,1,56.99,17.68,74.67,9
030c7ec5,2017-05-15,SP,papelaria,stationery,1,69.9,13.51,83.41,7
dbc59da3,2017-05-16,RJ,cama_mesa_banho,bed_bath_table,1,139.99,21.47,161.46,7
1d21ce79,2017-05-16,BA,esporte_lazer,sports_leisure,2,226.0,40.06,266.06,15
73de1db8,2017-05-16,MG,fashion_bolsas_e_acessorios,fashion_bags_accessories,1,389.0,16.45,405.45,43
8d92a85b,2017-05-16,SP,cama_mesa_banho,bed_bath_table,1,89.9,12.13,102.03,5
ac72d34e,2017-05-17,RJ,utilidades_domesticas,housewares,1,152.9,53.67,206.57,16
890fff31,2017-05-17,PR,bebes,baby,1,109.9,12.72,122.62,13
9d54d8f8,2017-05-17,RJ,beleza_saude,health_beauty,1,27.5,15.1,42.6,6
af7558c4,2017-05-17,BA,eletrodomesticos,home_appliances,1,72.0,18.07,90.07,14
96b2e80d,2017-05-18,PA,cama_mesa_banho,bed_bath_table,1,89.9,35.95,125.85,27
2f2ccd40,2017-05-18,MG,moveis_escritorio,office_furniture,1,126.99,30.73,157.72,13
028ad192,2017-05-18,RS,beleza_saude,health_beauty,1,467.0,18.02,485.02,7
6a7a8e30,2017-05-18,SP,informatica_acessorios,computers_accessories,1,269.0,14.22,283.22,10
9f6f3477,2017-05-18,SP,esporte_lazer,sports_leisure,1,55.0,7.78,62.78,3
460281d0,2017-05-18,PR,utilidades_domesticas,housewares,1,34.98,15.1,50.08,10
9b632646,2017-05-19,SP,cool_stuff,cool_stuff,1,199.0,19.63,218.63,7
a5fb2c24,2017-05-19,SP,beleza_saude,health_beauty,1,63.9,12.79,76.69,7
9cfc94a0,2017-05-19,SP,non_renseignee,not_specified,1,64.99,9.34,74.33,4
f68cab86,2017-05-19,SP,casa_conforto,home_confort,1,89.9,12.13,102.03,9
d0283249,2017-05-19,CE,informatica_acessorios,computers_accessories,1,529.0,47.55,576.55,12
e28a4c66,2017-05-19,SP,fashion_bolsas_e_acessorios,fashion_bags_accessories,1,24.9,14.1,39.0,11
